[2019-10-02 23:56:17] Type: ErrorException; Message: Undefined property: stdClass::$order; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\helpers\db.php; Line: 330;
[2019-10-02 23:56:17] Type: ErrorException; Message: Undefined property: stdClass::$id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\helpers\db.php; Line: 330;
[2019-10-02 23:56:17] Type: ErrorException; Message: Undefined property: stdClass::$order; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\helpers\db.php; Line: 330;
[2019-10-02 23:56:17] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:56:18] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:56:18] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:18] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:18] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:18] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:18] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:18] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:20] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:56:20] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:56:20] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:56:20] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:56:20] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:20] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:21] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:21] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:21] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:21] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:27] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:56:27] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:56:45] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:56:45] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:57:05] Type: ErrorException; Message: Undefined variable: name; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\helpers\html.php; Line: 133;
[2019-10-02 23:57:05] Type: ErrorException; Message: Undefined variable: name; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\helpers\html.php; Line: 133;
[2019-10-02 23:57:21] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:57:21] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:57:52] Type: ErrorException; Message: Undefined variable: products; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\default\gallery.php; Line: 4;
[2019-10-02 23:57:52] Type: ErrorException; Message: Undefined variable: featured; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\default\gallery.php; Line: 42;
